,RegionName,StateName,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023
118,"York, PA",PA,144817.0,141633.0,142183.0,139683.0,144033.0,147316.0,151483.0,152274.0,148358.0,144992.0,140700.0,143267.0,141633.0,144967.0,146000.0,149667.0,148000.0,148667.0,149633.0,152967.0,154192.0,152892.0,148992.0,147733.0,144217.0,146417.0,145782.0,148298.0,153298.0,157300.0,158467.0,157167.0,158167.0,160500.0,156833.0,150833.0,146483.0,145450.0,148750.0,152267.0,158967.0,163967.0,168928.0,169262.0,165628.0,164000.0,159667.0,158317.0,155983.0,155567.0,157217.0,158800.0,161023.0,165523.0,169690.0,172050.0,171833.0,168500.0,168667.0,165250.0,163000.0,161167.0,164000.0,166167.0,168633.0,172800.0,177133.0,181833.0,178000.0,174167.0,169500.0,170467.0,170925.0,169258.0,169292.0,171667.0,177717.0,179383.0,182717.0,181667.0,184967.0,182550.0,184217.0,181583.0,180667.0,177300.0,176600.0,184933.0,194467.0,201167.0,202833.0,200129.0,199262.0,195929.0,197933.0,197133.0,197133.0,193333.0,192000.0,193667.0,197000.0,204967.0,211633.0,218300.0,225000.0,223867.0,225500.0,217167.0,211617.0,208283.0,213283.0,218633.0,225333.0,234667.0,241983.0,241983.0,235983.0,233833.0,230833.0,229500.0,230667.0,233633.0,237050.0,242033.0,250400.0,261650.0,265000.0
119,"Vallejo, CA",CA,224833.0,226500.0,234500.0,239667.0,245500.0,247000.0,253667.0,262833.0,269500.0,272833.0,270500.0,269333.0,277500.0,279833.0,293167.0,294500.0,302833.0,299500.0,310333.0,315000.0,318167.0,310917.0,309583.0,309750.0,313333.0,315833.0,323167.0,323833.0,333000.0,338667.0,339667.0,337167.0,331333.0,335667.0,336167.0,335667.0,337333.0,340000.0,344333.0,348333.0,356000.0,365000.0,369333.0,372667.0,373167.0,375000.0,365167.0,368000.0,365917.0,369917.0,368250.0,375833.0,387833.0,396583.0,403750.0,402583.0,402833.0,399000.0,402333.0,403333.0,405000.0,406667.0,413333.0,417333.0,425667.0,427833.0,435500.0,438083.0,435917.0,432250.0,429667.0,425833.0,418833.0,407167.0,414333.0,421667.0,433333.0,434167.0,442500.0,445750.0,444917.0,443083.0,438167.0,441000.0,434500.0,441000.0,443167.0,456500.0,456667.0,463333.0,465000.0,475000.0,480000.0,479167.0,479167.0,477500.0,485000.0,489750.0,499750.0,508417.0,526000.0,539333.0,555667.0,560000.0,560000.0,560000.0,563333.0,566833.0,565167.0,566833.0,573333.0,591667.0,600000.0,606667.0,591667.0,580000.0,571500.0,567167.0,561333.0,553167.0,558167.0,554833.0,557333.0,549667.0,567167.0,571333.0,576667.0
120,"Santa Maria, CA",CA,417167.0,431000.0,426667.0,438167.0,486500.0,493833.0,492333.0,455667.0,448333.0,458333.0,441667.0,434833.0,439833.0,472167.0,450667.0,470167.0,474167.0,495833.0,481333.0,488333.0,505000.0,494167.0,488333.0,476667.0,464167.0,453833.0,477167.0,505167.0,515333.0,498667.0,489333.0,493167.0,472833.0,467000.0,462500.0,466167.0,491667.0,510833.0,509167.0,505833.0,480000.0,512500.0,485833.0,514833.0,497167.0,512083.0,496000.0,494500.0,511250.0,503167.0,516333.0,513667.0,523833.0,536000.0,538667.0,543667.0,536667.0,545000.0,550000.0,549333.0,526000.0,534333.0,548000.0,573000.0,561333.0,545417.0,528750.0,521083.0,544167.0,555833.0,566000.0,555833.0,567750.0,560250.0,555750.0,553000.0,559667.0,567500.0,558333.0,564667.0,554667.0,556333.0,564667.0,573000.0,584333.0,581333.0,579567.0,564900.0,549900.0,559667.0,587833.0,640333.0,695667.0,755417.0,779583.0,765750.0,711417.0,734750.0,713250.0,750167.0,721833.0,752167.0,723333.0,728333.0,710000.0,742333.0,738167.0,732333.0,720833.0,728333.0,777500.0,808250.0,815250.0,807917.0,789333.0,782333.0,748833.0,750833.0,730833.0,744167.0,723750.0,733750.0,732583.0,770500.0,784500.0,799833.0,795667.0
121,"Salinas, CA",CA,326167.0,318333.0,321333.0,339667.0,374667.0,397500.0,402500.0,402500.0,394833.0,402667.0,401500.0,405667.0,394750.0,403417.0,417667.0,437250.0,441417.0,441500.0,436667.0,443167.0,429833.0,428167.0,428333.0,426667.0,423333.0,433333.0,460667.0,477333.0,470167.0,459917.0,454917.0,458417.0,465167.0,476333.0,487167.0,491667.0,496333.0,493833.0,483833.0,493000.0,502333.0,531161.0,534495.0,530495.0,537667.0,524333.0,521333.0,492000.0,520333.0,528333.0,555833.0,550667.0,569667.0,591333.0,598167.0,594667.0,568333.0,561667.0,570667.0,574333.0,576000.0,571250.0,580083.0,604250.0,621167.0,627500.0,616667.0,583000.0,583000.0,579333.0,603000.0,595000.0,583667.0,575500.0,570167.0,582500.0,597333.0,602333.0,609167.0,598250.0,623750.0,614583.0,639250.0,622917.0,637917.0,630833.0,635833.0,625167.0,615167.0,624333.0,663333.0,715000.0,753333.0,766667.0,773667.0,752000.0,742000.0,726667.0,759833.0,766833.0,773500.0,768333.0,768000.0,781333.0,775500.0,796333.0,783000.0,802500.0,795000.0,811667.0,823333.0,834167.0,835000.0,815833.0,825000.0,802500.0,811667.0,784667.0,789667.0,762000.0,781667.0,768167.0,802667.0,793333.0,814333.0,785833.0,803333.0
122,"Salem, OR",OR,156738.0,157588.0,163483.0,162167.0,162667.0,163300.0,168617.0,171917.0,174450.0,174117.0,172483.0,168983.0,163967.0,167967.0,169967.0,173833.0,175500.0,181133.0,187700.0,188867.0,187567.0,185500.0,183500.0,181500.0,179833.0,182583.0,187417.0,192050.0,195800.0,198967.0,204333.0,203000.0,201667.0,198300.0,200133.0,202667.0,207667.0,207400.0,208167.0,210533.0,217300.0,223667.0,224667.0,226333.0,226483.0,229317.0,230950.0,230383.0,229183.0,229217.0,233300.0,236650.0,241650.0,244983.0,248300.0,252300.0,252967.0,254150.0,255983.0,260067.0,262917.0,266567.0,270150.0,276083.0,276600.0,278267.0,284667.0,291367.0,291367.0,285017.0,279983.0,280650.0,279963.0,280963.0,283379.0,287417.0,289750.0,293300.0,296633.0,299967.0,297400.0,297400.0,297058.0,299658.0,299624.0,303283.0,309950.0,315933.0,316950.0,318617.0,324333.0,330000.0,335000.0,338333.0,343200.0,346533.0,347167.0,348967.0,355633.0,361517.0,369850.0,377017.0,387538.0,392538.0,392038.0,393000.0,395333.0,397000.0,393967.0,398850.0,408183.0,419883.0,424333.0,425333.0,430333.0,432000.0,433750.0,425417.0,420417.0,413000.0,408000.0,408000.0,406667.0,412500.0,414167.0,424833.0,427833.0
123,"Mobile, AL",AL,117155.0,114555.0,109455.0,111317.0,118333.0,120667.0,120667.0,118000.0,118333.0,120000.0,115000.0,111100.0,109433.0,108767.0,111667.0,109151.0,113318.0,117985.0,124833.0,124000.0,118000.0,110333.0,111157.0,110974.0,114607.0,118450.0,123967.0,123633.0,124800.0,124674.0,127707.0,123507.0,124308.0,124642.0,125908.0,122900.0,120517.0,117617.0,118783.0,125000.0,131667.0,135500.0,135000.0,133150.0,132817.0,134483.0,134417.0,132983.0,129633.0,130367.0,129550.0,130533.0,132383.0,138133.0,139667.0,140633.0,139800.0,139133.0,136648.0,135232.0,141648.0,146800.0,148883.0,147967.0,147833.0,147300.0,142600.0,140600.0,143133.0,144667.0,143900.0,141233.0,140233.0,140833.0,142333.0,143917.0,146883.0,150300.0,153883.0,152250.0,150967.0,150133.0,151800.0,151000.0,151833.0,150167.0,152250.0,154917.0,158917.0,160167.0,160500.0,164500.0,169333.0,170333.0,170650.0,167650.0,170317.0,170300.0,174967.0,175967.0,185167.0,188500.0,192333.0,190833.0,193500.0,194000.0,196000.0,195000.0,193167.0,188500.0,189833.0,199667.0,207333.0,207667.0,204333.0,198633.0,198633.0,200300.0,203000.0,202967.0,197967.0,195633.0,199667.0,204667.0,212750.0,215000.0,220000.0
124,"Reading, PA",PA,142300.0,138267.0,135600.0,137250.0,142100.0,145700.0,153150.0,156544.0,151811.0,146278.0,140900.0,142733.0,144083.0,146250.0,147250.0,146667.0,145000.0,148000.0,154667.0,158000.0,158000.0,149167.0,144133.0,141133.0,141467.0,140333.0,142000.0,143333.0,147333.0,150667.0,156133.0,157300.0,154717.0,152417.0,151750.0,147633.0,145300.0,143300.0,144967.0,144600.0,148267.0,153267.0,157967.0,159617.0,157983.0,158300.0,154800.0,151467.0,149100.0,145700.0,147867.0,146883.0,153433.0,159567.0,167900.0,171600.0,168383.0,163383.0,158383.0,156633.0,154714.0,153031.0,153139.0,152925.0,156275.0,159467.0,164967.0,168282.0,168732.0,163398.0,160665.0,156915.0,157248.0,155000.0,156633.0,160800.0,162467.0,169133.0,172267.0,179900.0,176600.0,175217.0,169917.0,171750.0,167500.0,171817.0,173317.0,183317.0,185000.0,186667.0,188333.0,191500.0,193833.0,190500.0,188983.0,186650.0,189133.0,192483.0,191150.0,185833.0,184167.0,197167.0,206917.0,212317.0,211067.0,212817.0,211750.0,209667.0,209333.0,210000.0,206667.0,210667.0,213000.0,227000.0,224250.0,228550.0,222867.0,226617.0,223317.0,225000.0,220000.0,225000.0,221667.0,230000.0,234633.0,252800.0,264467.0
125,"Corpus Christi, TX",TX,136513.0,134179.0,135000.0,136333.0,140875.0,148375.0,153608.0,152067.0,150233.0,147333.0,149667.0,143000.0,142967.0,147300.0,154967.0,156667.0,153533.0,155533.0,160533.0,164500.0,163833.0,162167.0,161000.0,161750.0,157750.0,156083.0,155650.0,161983.0,165650.0,172300.0,173300.0,172300.0,171238.0,170988.0,168638.0,160067.0,157233.0,159168.0,165502.0,170252.0,176333.0,178000.0,177167.0,174200.0,177533.0,181867.0,179833.0,177250.0,176250.0,178217.0,174133.0,170633.0,170917.0,176917.0,178400.0,175817.0,174900.0,173750.0,176917.0,176333.0,179858.0,180358.0,179191.0,179000.0,182633.0,188467.0,193467.0,195167.0,191000.0,187667.0,187667.0,189333.0,190167.0,187500.0,186667.0,186700.0,191033.0,196867.0,201250.0,199567.0,196233.0,194233.0,193250.0,198250.0,194133.0,198467.0,197800.0,202667.0,204333.0,209467.0,219467.0,224467.0,228333.0,224000.0,225667.0,225633.0,227300.0,230800.0,234750.0,243750.0,243550.0,246633.0,245300.0,251333.0,251667.0,252650.0,249950.0,249283.0,257383.0,260567.0,260566.0,261454.0,269971.0,281654.0,281683.0,281683.0,275000.0,271167.0,261950.0,258617.0,251283.0,252000.0,254667.0,262467.0,270800.0,273133.0,278166.0
126,"Manchester, NH",NH,192333.0,196000.0,196583.0,200900.0,206733.0,216617.0,222967.0,227633.0,225750.0,217250.0,210250.0,206917.0,205750.0,204083.0,201000.0,202000.0,208667.0,217667.0,222000.0,224300.0,218633.0,220300.0,215000.0,216983.0,213317.0,216139.0,217478.0,222467.0,223644.0,231989.0,237000.0,241489.0,234822.0,229489.0,225656.0,225056.0,228644.0,227656.0,228194.0,229272.0,232606.0,239844.0,241661.0,246639.0,244794.0,244311.0,238511.0,237011.0,237678.0,238833.0,242511.0,243100.0,252767.0,260256.0,264667.0,264556.0,257867.0,256044.0,251911.0,251750.0,251906.0,246283.0,244867.0,249378.0,260567.0,273833.0,275656.0,274333.0,271000.0,269667.0,271000.0,266333.0,263333.0,260306.0,261461.0,265461.0,272800.0,282967.0,287300.0,289989.0,284167.0,282500.0,280833.0,280000.0,280000.0,278333.0,285089.0,298422.0,308422.0,316667.0,316000.0,322667.0,321000.0,322633.0,323722.0,326444.0,327144.0,327722.0,328000.0,340000.0,353333.0,372000.0,380000.0,383489.0,386800.0,383467.0,381978.0,371333.0,369667.0,359000.0,371667.0,383333.0,408667.0,418167.0,426500.0,426500.0,428333.0,420000.0,415167.0,410167.0,399333.0,399167.0,398667.0,407833.0,421167.0,435667.0,455667.0
127,"Fort Wayne, IN",IN,104133.0,100967.0,97467.0,100800.0,107617.0,112683.0,114200.0,114883.0,113817.0,110667.0,108650.0,105650.0,101683.0,97367.0,99033.0,104633.0,111050.0,115498.0,119531.0,118415.0,117633.0,114467.0,111167.0,110750.0,105083.0,104400.0,103817.0,110300.0,114950.0,118617.0,123450.0,123817.0,121450.0,116092.0,115592.0,114958.0,115800.0,116033.0,118033.0,120567.0,124800.0,128800.0,129800.0,129000.0,126300.0,126467.0,123967.0,124000.0,123000.0,121000.0,121583.0,122550.0,127550.0,130598.0,134298.0,135882.0,135583.0,133917.0,133167.0,134467.0,133467.0,135967.0,133583.0,134567.0,136567.0,143150.0,148633.0,149383.0,148867.0,149033.0,147283.0,143633.0,136667.0,138100.0,141100.0,149767.0,152667.0,156667.0,159300.0,160967.0,162100.0,157800.0,156117.0,153283.0,150917.0,149267.0,149633.0,153667.0,160167.0,166467.0,170800.0,170767.0,170800.0,173800.0,172834.0,170484.0,167484.0,166983.0,167667.0,169300.0,176133.0,183300.0,190650.0,193634.0,194800.0,193150.0,191667.0,189175.0,185675.0,187342.0,190167.0,198500.0,204500.0,213167.0,218167.0,219500.0,215500.0,212333.0,213333.0,209983.0,203300.0,194967.0,200817.0,212500.0,220833.0,225000.0,230667.0
128,"Gulfport, MS",MS,91667.0,89567.0,87900.0,97900.0,100422.0,107089.0,107822.0,112400.0,108400.0,104717.0,100383.0,97717.0,95667.0,91667.0,92667.0,93917.0,98917.0,106033.0,114767.0,118100.0,120067.0,117083.0,117083.0,115000.0,108542.0,110192.0,110192.0,117967.0,119817.0,121817.0,123917.0,123750.0,125417.0,123333.0,121667.0,118333.0,115250.0,113583.0,115417.0,122000.0,127833.0,130967.0,130783.0,129950.0,127650.0,126667.0,124817.0,127817.0,127650.0,131133.0,132133.0,136633.0,135667.0,139000.0,138667.0,140167.0,138000.0,139650.0,135817.0,133400.0,129417.0,135000.0,134583.0,136917.0,135250.0,144583.0,144917.0,150000.0,146167.0,143833.0,142250.0,137750.0,136017.0,134500.0,137500.0,143233.0,145167.0,150667.0,155583.0,158917.0,157917.0,154667.0,155133.0,155367.0,154367.0,155817.0,158250.0,161250.0,160333.0,162467.0,167133.0,169300.0,169830.0,170663.0,174663.0,178458.0,176292.0,171792.0,172167.0,174667.0,180833.0,181167.0,187417.0,188417.0,190083.0,190667.0,189167.0,188333.0,184233.0,185733.0,189900.0,198333.0,208833.0,217167.0,220150.0,216983.0,211567.0,206217.0,206217.0,203267.0,200467.0,197133.0,198833.0,210000.0,219667.0,229667.0,226833.0
129,"Salisbury, MD",DE,216833.0,208333.0,202083.0,201167.0,211167.0,212417.0,218333.0,216667.0,220000.0,222000.0,221967.0,223938.0,209837.0,199870.0,190899.0,201333.0,209667.0,216633.0,213300.0,210550.0,212250.0,217417.0,216833.0,210167.0,206667.0,204500.0,206333.0,208000.0,216167.0,219333.0,222667.0,218333.0,218332.0,214998.0,217498.0,217500.0,216167.0,215333.0,216317.0,224317.0,224283.0,223283.0,222700.0,227689.0,231684.0,231850.0,231711.0,229400.0,226983.0,220500.0,225500.0,230817.0,240817.0,239150.0,238567.0,241233.0,242900.0,247000.0,248333.0,245667.0,242983.0,237650.0,241983.0,240333.0,245000.0,248000.0,243833.0,237833.0,236750.0,244000.0,246667.0,239417.0,234667.0,234333.0,241300.0,243633.0,249800.0,245833.0,248500.0,249333.0,255667.0,259000.0,261750.0,262750.0,262417.0,253000.0,253000.0,257500.0,264133.0,270767.0,278600.0,291967.0,300333.0,301333.0,304667.0,304417.0,297307.0,293940.0,292523.0,306800.0,311833.0,316833.0,319967.0,321967.0,331217.0,332567.0,338900.0,339650.0,340000.0,340167.0,338500.0,350167.0,363333.0,372667.0,369000.0,359000.0,361333.0,358333.0,358300.0,343132.0,343132.0,339832.0,355000.0,360000.0,366667.0,371000.0,371000.0
130,"Flint, MI",MI,82483.0,76317.0,76333.0,78000.0,85667.0,90915.0,95898.0,98565.0,99983.0,99967.0,100100.0,97433.0,97300.0,93167.0,92250.0,94083.0,98083.0,108300.0,112617.0,118283.0,111617.0,110633.0,107633.0,109333.0,102667.0,104825.0,104825.0,110825.0,109833.0,117400.0,122567.0,126567.0,121917.0,116417.0,115250.0,113333.0,113500.0,110967.0,113717.0,114717.0,119583.0,122833.0,127333.0,127500.0,127167.0,125167.0,124333.0,121700.0,120033.0,116200.0,118833.0,121167.0,127667.0,132367.0,135350.0,136350.0,133983.0,132667.0,130667.0,131483.0,131817.0,126929.0,126762.0,128095.0,135533.0,140850.0,146217.0,148667.0,145367.0,141633.0,137800.0,136867.0,136550.0,138017.0,136950.0,135633.0,138300.0,144967.0,151300.0,152333.0,148667.0,145450.0,143783.0,142750.0,138933.0,139267.0,142600.0,149967.0,150117.0,155150.0,156817.0,161667.0,160667.0,161750.0,163417.0,160583.0,158083.0,152417.0,157883.0,160300.0,170467.0,171167.0,176000.0,174833.0,179983.0,180817.0,179150.0,175000.0,170000.0,167000.0,169667.0,176833.0,184400.0,186567.0,187067.0,190500.0,189000.0,184667.0,177983.0,176483.0,172150.0,170833.0,170333.0,179667.0,190000.0,197000.0,200333.0
131,"Peoria, IL",IL,103250.0,100917.0,106750.0,108833.0,115167.0,119333.0,123833.0,122500.0,117500.0,115000.0,113333.0,113583.0,107750.0,104417.0,99167.0,103500.0,108333.0,117500.0,125150.0,125283.0,122200.0,117717.0,115750.0,113000.0,110667.0,105417.0,106583.0,110583.0,118917.0,123667.0,127000.0,125083.0,122500.0,117500.0,113083.0,106417.0,103083.0,101333.0,106317.0,110817.0,117817.0,118667.0,122083.0,120833.0,121000.0,115417.0,116000.0,111667.0,109333.0,106667.0,110000.0,113000.0,115250.0,118583.0,120750.0,123333.0,121000.0,120000.0,115167.0,114167.0,113333.0,111667.0,110667.0,115500.0,120500.0,123167.0,125000.0,125633.0,126467.0,118133.0,114750.0,113917.0,115250.0,115833.0,111917.0,110583.0,114417.0,121483.0,125483.0,123483.0,120333.0,123000.0,122583.0,119583.0,114550.0,113467.0,119133.0,124167.0,128000.0,130317.0,130817.0,127817.0,126167.0,126167.0,132333.0,128967.0,123217.0,117217.0,118917.0,120833.0,125083.0,128417.0,133583.0,135167.0,131833.0,132333.0,127333.0,125667.0,119833.0,121500.0,126000.0,127833.0,134467.0,139133.0,144467.0,143583.0,140250.0,138250.0,134667.0,131000.0,127167.0,123500.0,123750.0,127583.0,137417.0,148333.0,153333.0
132,"Canton, OH",OH,94300.0,91817.0,101017.0,108250.0,114733.0,117533.0,119317.0,122983.0,119317.0,116083.0,108650.0,103317.0,94483.0,95167.0,98833.0,109917.0,112667.0,116384.0,116384.0,119684.0,119300.0,116633.0,114667.0,108833.0,106833.0,101750.0,104917.0,106567.0,115283.0,118267.0,123667.0,123700.0,120017.0,116600.0,110233.0,110600.0,110600.0,113100.0,114733.0,116433.0,118300.0,121367.0,124700.0,125700.0,122500.0,119167.0,118483.0,121817.0,120483.0,121100.0,120767.0,125433.0,127500.0,130317.0,131283.0,130617.0,130467.0,129167.0,130167.0,128500.0,127133.0,128550.0,130050.0,131750.0,133500.0,136167.0,140667.0,143750.0,140417.0,137900.0,132650.0,134283.0,131883.0,132717.0,131050.0,133683.0,137183.0,142217.0,146333.0,145000.0,140500.0,136833.0,132800.0,135633.0,135950.0,139650.0,141317.0,141833.0,143650.0,146983.0,153450.0,158300.0,158267.0,153600.0,146933.0,145300.0,141617.0,139617.0,139617.0,148000.0,160667.0,162317.0,165917.0,165250.0,168583.0,165950.0,165950.0,164467.0,160167.0,158500.0,158333.0,158333.0,161667.0,164983.0,170150.0,170483.0,170267.0,171767.0,167933.0,167533.0,163117.0,161583.0,163883.0,173967.0,180667.0,182333.0,183300.0
133,"Savannah, GA",GA,161400.0,166433.0,167633.0,175467.0,178950.0,182983.0,179150.0,175667.0,174612.0,169612.0,162945.0,158333.0,157733.0,158100.0,158933.0,164533.0,175133.0,179300.0,181867.0,172567.0,170900.0,166083.0,169950.0,168700.0,174433.0,172892.0,180808.0,182325.0,188650.0,194050.0,192717.0,192400.0,180300.0,181633.0,176633.0,178333.0,176667.0,176400.0,178067.0,178067.0,187633.0,192450.0,196450.0,192150.0,185667.0,185000.0,185000.0,184650.0,180317.0,180150.0,182167.0,183667.0,188250.0,196583.0,201000.0,198250.0,191583.0,186667.0,186650.0,186983.0,192219.0,194235.0,194569.0,198250.0,201250.0,209083.0,208500.0,211833.0,207500.0,207667.0,202333.0,199333.0,196583.0,196250.0,199250.0,202500.0,214833.0,222317.0,230313.0,224980.0,219330.0,212333.0,210300.0,214300.0,219300.0,219500.0,218833.0,219500.0,221917.0,225583.0,229083.0,235867.0,242833.0,247000.0,249717.0,249083.0,249417.0,247650.0,249983.0,252983.0,260000.0,263333.0,270000.0,268333.0,268333.0,262833.0,269500.0,271167.0,273042.0,271375.0,275375.0,288333.0,304833.0,319167.0,318167.0,313333.0,308333.0,313333.0,311667.0,303333.0,300000.0,304333.0,315817.0,320817.0,329817.0,337667.0,340667.0
134,"Beaumont, TX",TX,93247.0,90270.0,92270.0,107627.0,104124.0,108624.0,110837.0,123082.0,124253.0,112003.0,94754.0,82083.0,78650.0,84100.0,101267.0,120617.0,136667.0,129750.0,123750.0,113667.0,112567.0,123733.0,131983.0,143750.0,130083.0,126417.0,121167.0,129750.0,133400.0,138400.0,130983.0,130500.0,125500.0,121500.0,113650.0,112883.0,122200.0,130967.0,129400.0,129083.0,130833.0,136317.0,136300.0,136867.0,141383.0,143400.0,145167.0,141667.0,138167.0,132317.0,130817.0,132150.0,137500.0,140500.0,151800.0,149467.0,152467.0,141667.0,138000.0,132750.0,125750.0,125083.0,129300.0,138967.0,147133.0,148167.0,151167.0,151500.0,147000.0,146000.0,146167.0,154667.0,153500.0,158833.0,153500.0,162500.0,159317.0,166283.0,161783.0,165967.0,164000.0,171717.0,176383.0,173717.0,166417.0,153667.0,156500.0,152083.0,159483.0,159650.0,163617.0,161617.0,160617.0,168983.0,169800.0,177433.0,168267.0,164300.0,159200.0,168700.0,185200.0,190917.0,188250.0,180250.0,184333.0,186667.0,189667.0,191167.0,189500.0,190833.0,192167.0,196167.0,206500.0,201333.0,209000.0,209000.0,213583.0,211917.0,190083.0,182733.0,179367.0,183450.0,184883.0,187250.0,193333.0,187917.0,177250.0
